density,target_temp,avg_temp,avg_pressure,avg_total_energy
0.5,0.7,1.6771943875888593e+39,1.3417555100710878e+39,6.44042644834122e+41
0.5,0.85,1.1237861039512886e+36,8.990288831610309e+35,4.3153386391729474e+38
0.5,1.0,9.811730466522927e+42,7.849384373218341e+42,3.767704499144804e+45
0.5,1.15,1.6355436043505287e+38,1.3084348834804233e+38,6.280487440706031e+40
0.5,1.3,1.5168939598734973e+45,1.2135151678987981e+45,5.824872805914229e+47
0.6,0.7,1.896071983455245e+45,1.5168575867641968e+45,7.280916416468141e+47
0.6,0.85,7.524554496889448e+36,6.01964359751156e+36,2.8894289268055485e+39
0.6,1.0,3.753862590184066e+39,3.003090072147254e+39,1.4414832346306816e+42
0.6,1.15,7.806499452931156e+45,6.245199562344927e+45,2.997695789925564e+48
0.6,1.3,2.2053498065064423e+39,1.7642798452051544e+39,8.468543256984738e+41
0.7,0.7,1.1922698032912587e+45,9.538158426330073e+44,4.578316044638433e+47
0.7,0.85,4.3436127359147745e+37,3.474890188731821e+37,1.667947290591274e+40
0.7,1.0,5.1504049455128705e+38,4.120323956410297e+38,1.9777554990769426e+41
0.7,1.15,2.4911048588696162e+56,1.992883887095693e+56,9.565842658059326e+58
0.7,1.3,5.808810925235347e+46,4.647048740188279e+46,2.2305833952903734e+49
0.8,0.7,1.0836999743753259e+48,8.669599795002609e+47,4.161407901601252e+50
0.8,0.85,1.804691007357067e+44,1.443752805885654e+44,6.930013468251139e+46
0.8,1.0,1.2976877105442654e+50,1.0381501684354123e+50,4.983120808489979e+52
0.8,1.15,1.6199237354664192e+50,1.2959389883731355e+50,6.220507144191049e+52
0.8,1.3,6.2124947394924345e+56,4.969995791593949e+56,2.3855979799650957e+59
0.9,0.7,7.060721330341055e+45,5.648577064272845e+45,2.7113169908509648e+48
0.9,0.85,1.9676900334316897e+40,1.5741520267453522e+40,7.55592972837769e+42
0.9,1.0,1.7200100392356703e+44,1.3760080313885364e+44,6.604838550664974e+46
0.9,1.15,3.1354112423678214e+43,2.508328993894258e+43,1.2039979170692433e+46
0.9,1.3,2.6112237802360805e+40,2.088979024188865e+40,1.0027099316106553e+43
1.0,0.7,1.473474854174887e+44,1.17877988333991e+44,5.658143440031567e+46
1.0,0.85,3.21323048077753e+42,2.570584384622024e+42,1.2338805046185713e+45
1.0,1.0,7.156076506807054e+44,5.724861205445644e+44,2.747933378613909e+47
1.0,1.15,2.2503433317754815e+41,1.8002746654203856e+41,8.641318394017851e+43
1.0,1.3,1.5449163544825835e+48,1.2359330835860669e+48,5.93247880121312e+50
